groups,threshhold,tt_split,tr_acc_m,tr_acc_sd,oob_m,oob_sd,te_acc_m,te_acc_sd
2,"15, 30",0.7,0.7450000001,0.07301276738597177,0.1831634393,0.03704719874217572,0.6733333333,0.09660917836160136
2,"15, 30",0.8,0.7354999999,0.05114159723276659,0.1845013375,0.01712672904709495,0.7333333336,0.14998856823013432
2,"20, 30",0.7,0.7265000002,0.04001118673447757,0.1937292275,0.013803844353750741,0.63125,0.05472468973568207
2,"20, 30",0.8,0.7093333333,0.034491008034838004,0.1988792179,0.01607867943475471,0.67,0.10593499054713805
2,25,0.7,0.6899999999,0.04038364760547147,0.2183833475,0.016380237158077914,0.672,0.06746192341692542
2,25,0.8,0.7025595238,0.028312664760785738,0.2191246731,0.014091644280028957,0.6733333334,0.06629526165217894
2,27,0.7,0.6898095236999999,0.03194635216015498,0.2145248941,0.013993881715009577,0.6833333332,0.06573421987325688
2,27,0.8,0.6836309524,0.03588939653335781,0.2121085224,0.015482189965271103,0.6625,0.10290907529357057
3,"15, 30",0.7,0.5481428571,0.049134330275014446,0.3818118948,0.025316875372159528,0.4333333333,0.0904378921049969
3,"15, 30",0.8,0.5339285715000001,0.051788712705109166,0.3913786454,0.01727131540329917,0.5357142856,0.10780220385716882
3,"20, 30",0.7,0.5107142858,0.05240175142003486,0.3903632819,0.023525422465845002,0.4875,0.0736242125867051
3,"20, 30",0.8,0.5046428572,0.06667074776012433,0.39976691870000003,0.02587360802937694,0.5333333335,0.12171612401175302
