training_accuracy,oob_error,testing_accuracy
0.7166666666666667,0.21628434149585277,0.6
0.7232142857142857,0.21551080516149432,0.6666666666666666
0.7011904761904761,0.2365098563963253,0.6666666666666666
0.7589285714285714,0.19306167658154746,0.6
0.6821428571428572,0.21205892496576792,0.7333333333333333
0.7119047619047619,0.21830308988926014,0.7333333333333333
0.6642857142857143,0.23336698148527882,0.6
0.6904761904761905,0.215829467412197,0.6666666666666666
0.7095238095238096,0.24011651325046357,0.8
0.6672619047619047,0.21020507560053717,0.6666666666666666
