TrainRMSE,TrainRsquared,OOBerror,TestRMSE,TestRsquared
11.667603745478447,0.2732431730412698,12.295772557479921,11.19417642716222,0.6122828982932125
11.69478299765084,0.39800636840262404,12.133181622789559,11.379396924910834,0.32395603618695407
11.254115515438654,0.4294907449091521,11.777559318883753,11.91260767994228,0.17300756978643192
11.152924622865193,0.3635753621503204,11.602621277110458,12.248253068953035,0.1685070607786519
11.517506524325764,0.34116815188746485,12.063959551488226,11.820755351093652,0.3850166298645855
10.83152176678559,0.3937746954072715,11.147573686826577,13.393301922342308,0.049300747695473136
11.097908343485916,0.43254722179952,11.697243737846753,12.881037991694972,0.07143286117117867
11.18491146951797,0.388703370423788,11.687721492110244,11.776096882117647,0.24395143664176702
12.101810415512643,0.3275645589937521,12.326880595564953,10.259652052384245,0.5389091529746738
11.336718034373392,0.38829402509447924,11.641193898552007,11.716828445928824,0.07548269466137099
